RecordNo;101;102;103;104;105;106;107;108;109;110
RecordNo;X5M1;X5M2;X5M3;X5M4;X5M5;X5M6;X5M7;X5M8;X5M9;X5M10
1135;;;3;;;5;;3;;5
1150;1;3;2;2;5;4;;3;;
1151;4;1;4;4;;4;1;3;4;
1154;4;3;3;999;1;3;3;3;;
1159;;;1;;;;;;;4
1167;4;5;4;3;3;2;2;4;;
1177;3;2;3;3;4;4;3;2;;1
1187;1;2;4;;;4;2;2;;
1191;2;1;3;3;3;1;4;2;;
1218;2;3;1;2;1;;2;;;
1230;2;;;;;;;4;;
1234;1;5;3;4;1;4;3;3;;
1242;999;;;;;;;5;;
1253;1;3;4;;4;4;;4;;
1280;4;;4;;3;;;3;;
1301;4;4;5;2;2;2;4;2;;
1311;;1;1;;5;2;;;;
1319;2;3;;2;;3;4;5;;1
1323;;;;;;;;;;
1336;;;2;5;;;999;;4;
1344;2;2;1;;2;5;;1;;
1357;2;3;;3;;3;;1;;
1358;;5;2;5;4;3;4;;;3
1360;3;;;;2;;;4;;
1364;2;5;;;;;;;;
1368;2;3;2;3;;;2;2;;
1371;5;1;3;3;2;1;4;2;;
1375;1;3;5;;;4;;3;;
1387;3;;4;3;;3;2;4;;1
1393;4;3;;;3;;4;3;;
1403;3;;3;;3;4;2;3;;
1404;;;1;4;4;3;3;;;
1412;4;5;1;;1;4;;4;;2
1419;4;3;5;4;4;2;4;2;;
1430;3;5;2;1;;3;3;1;;1
1438;;;3;3;;;3;4;1;
1439;;;1;;2;1;;2;;
1440;;;;;;;;;;
1450;2;3;4;4;1;2;3;4;;
1462;4;;1;2;2;4;3;3;;
1475;;4;;2;2;;;2;;
1485;;;5;5;;5;3;;;
1486;;2;4;;2;2;5;;2;
1490;1;5;;2;;4;4;2;;
1491;2;3;3;3;4;2;1;4;;
1501;;2;4;5;1;;2;1;;
1504;4;5;2;4;3;;5;;;
1508;3;3;2;3;5;1;4;2;;
1514;4;5;4;5;1;1;5;4;;
1540;1;4;;4;2;2;;2;1;
1562;;;1;3;4;5;1;4;;
1583;3;;3;5;2;2;2;3;;
1589;2;2;2;2;2;5;5;4;;
1593;;;2;5;2;3;5;;4;
1599;2;3;3;4;;2;3;;;
1605;;4;2;2;1;3;4;;;
1612;;;;2;;4;;1;;1
1626;3;2;5;2;5;;;2;4;
1634;2;;;;2;4;;5;;
1649;4;;;;1;5;;;;
1654;5;3;3;4;3;3;4;5;;
1664;3;3;;;4;;;3;;
1672;2;2;;;;2;;5;;
1674;3;5;3;2;4;3;2;4;;
1692;2;2;1;;2;4;1;3;2;
1697;;2;2;2;2;4;1;2;;
1716;;3;;;5;3;2;;;
1729;3;;2;2;4;4;4;3;;
1733;;2;3;2;;;1;2;;
1739;5;3;1;1;3;4;3;4;5;
1749;3;2;1;2;4;2;2;1;;
1767;2;3;;3;4;4;;4;4;1
1777;5;1;2;4;3;2;3;2;;
1783;3;5;3;4;1;2;3;4;;
1799;4;3;;3;2;2;;2;;
1800;4;;;;1;;;3;4;
1828;5;4;4;2;2;3;2;4;;
1851;5;4;3;3;1;4;3;2;;
1866;;;;;;;;;;
1869;3;4;5;2;2;2;2;2;;
1928;4;4;;;5;;;3;5;3
1961;5;4;;;;2;5;1;5;3
1969;5;2;3;2;2;;3;;5;1
1971;5;3;;1;5;;;5;2;3
1976;1;3;;;;5;4;5;3;
1978;4;4;3;5;1;4;4;3;2;4
2008;;;2;;1;;;;5;
2027;;;5;4;3;5;;;;3
2036;;1;;;3;3;4;5;5;5
2053;4;;2;5;3;;3;;;
2066;;2;5;3;;5;1;4;5;4
2069;4;3;2;;1;;;4;;
2070;;2;5;2;4;;4;5;1;1
2086;;;4;;3;1;;;4;
2107;2;4;4;2;1;;1;;;
2114;;1;;1;2;1;1;;;2
2120;1;5;;;3;4;4;;;
2122;1;5;;5;3;;5;2;4;
2131;;5;;;;;3;1;2;
2147;3;3;2;;;2;;;2;
2164;3;5;;;;4;;4;2;
2167;4;5;4;;2;2;;;4;5
2170;;3;1;;;3;3;;4;
2180;4;;2;;2;;5;2;;
2192;3;;5;3;2;5;2;3;1;
2201;;;;4;3;1;3;5;;1
2205;;3;4;;3;4;3;4;;4
2210;;2;3;4;1;;;;;
2214;4;;;;;;;;;5
2218;4;1;1;;;5;2;4;5;
2227;;;1;;4;4;;1;1;
2235;;2;;2;4;1;3;;3;1
2247;;;;4;;4;;;3;
2250;;1;;2;1;3;3;999;2;5
2265;;;;;4;2;2;1;;4
2279;;4;;;2;;;2;;2
2283;;4;5;3;;;2;;3;2
2285;2;4;;;;2;5;;;
2287;2;5;3;2;;3;;4;;1
2296;;3;4;;;;;;1;2
2304;;;;2;3;1;3;3;;
2309;2;3;;5;5;4;3;3;;
2313;;;;4;3;2;;;;
2316;4;;;;;1;3;1;3;5
2324;;;4;;4;;;;5;
2329;5;5;2;4;2;;3;;;
2355;;5;5;4;;2;;1;;
2356;;;;;2;4;;;2;
2368;;;2;;;;5;;;5
2373;4;;;;;;;;;5
2375;3;3;2;4;;5;;;;3
2386;5;2;;;4;;;1;4;
2391;;;5;2;2;;5;4;1;
2403;2;5;3;;;;4;;4;
2407;1;;;5;;3;2;;;4
2418;5;;;1;;;4;2;;
2430;3;;2;;;;;;;4
2437;2;1;5;;;;2;4;;
2441;;;5;;;2;;4;5;1
2455;3;5;;;;;;;2;
2466;2;;;3;;;4;3;;
2470;;;;2;4;;4;5;;
2484;4;;4;2;3;;;;4;2
2489;1;5;;;;5;1;2;3;1
2509;2;2;;4;;5;1;2;3;2
2520;;1;;2;;;;1;2;
2523;2;;2;3;;;;;;
2527;1;;;4;3;2;3;3;1;
2545;;5;;5;;;;;5;4
2549;5;;1;5;;4;3;5;;4
2563;;;;3;2;1;;;;
2567;3;;3;;3;;;2;;1
2579;2;;4;;;2;2;5;;
2583;;;4;;2;5;5;;4;
2590;3;5;;;;;1;;2;5
2594;;;;1;;4;;;5;
2598;;;4;1;3;5;5;4;;1
2609;3;3;1;4;2;3;;;4;
2613;4;5;2;5;3;;;;;1
2615;;4;;;1;;1;;4;1
2619;;2;4;5;2;;;;;
2620;;3;2;1;1;2;;;1;2
2623;5;3;2;;4;1;3;;;
2625;;4;2;;5;;2;3;4;
2631;;1;;1;2;2;;;4;
2634;4;4;;4;3;;;;2;5
2642;;;;;;5;1;;;
2643;;;;;;;;5;3;3
2645;;;1;;3;4;2;;;4
2651;;;;;3;2;2;1;3;1
2664;1;3;2;;;;;;4;4
2670;;;;;;;;;;5
2674;4;1;3;2;;;;;;
2688;;2;5;;2;;3;5;;
2691;;2;1;1;;1;;;;1
2695;;1;5;3;3;;2;;3;1
2703;1;;4;4;;4;;;2;5
2707;1;2;3;5;;4;;;5;
2727;;;;4;3;;5;;;
2731;;2;;;;3;4;;;
2742;2;;;;2;4;;4;;2
2744;;1;;;1;3;1;;4;
2748;;3;;1;3;;4;;4;1
2754;3;;;;;5;;;1;4
2757;3;1;;2;3;1;;1;3;4
2766;4;;;3;;3;1;;4;5
2775;4;1;3;;;5;4;;;3
2780;4;2;5;2;3;1;;;3;
2786;;2;4;1;4;;5;3;;
2798;5;4;1;;;;;;;
2801;;3;;3;;;;1;5;
2809;;1;;;3;;3;3;;1
2813;;5;;3;;;5;;3;4
2817;5;;4;2;;4;3;2;4;3
2822;2;4;1;;1;;3;4;2;
2837;;5;;;1;;;;;
2862;;;;;;;1;1;3;4
2865;2;3;3;;;3;5;4;1;
2880;1;3;5;1;4;3;4;2;5;5
2886;2;3;;;;3;;2;;
